model,key,image,category,latency,regions,chars,mean_conf,n_tables
OvisOCR2,ovisocr2,agenda_01.jpg,agenda,5.491,,325,,0
OvisOCR2,ovisocr2,agenda_02.jpg,agenda,7.185,,555,,1
OvisOCR2,ovisocr2,agenda_03.jpg,agenda,13.17,,869,,3
OvisOCR2,ovisocr2,agenda_04.jpg,agenda,15.756,,1035,,1
OvisOCR2,ovisocr2,agenda_05.jpg,agenda,19.047,,1278,,3
OvisOCR2,ovisocr2,agenda_06.jpg,agenda,14.05,,974,,2
OvisOCR2,ovisocr2,agenda_07.jpg,agenda,19.091,,1411,,1
OvisOCR2,ovisocr2,agenda_08.jpg,agenda,10.262,,1217,,1
OvisOCR2,ovisocr2,agenda_09.jpg,agenda,29.501,,2368,,5
OvisOCR2,ovisocr2,agenda_10.jpg,agenda,3.906,,221,,0
OvisOCR2,ovisocr2,agenda_11.jpg,agenda,3.761,,251,,0
OvisOCR2,ovisocr2,agenda_12.jpg,agenda,6.173,,508,,1
OvisOCR2,ovisocr2,agenda_13.jpg,agenda,18.693,,1428,,2
OvisOCR2,ovisocr2,agenda_14.jpg,agenda,18.679,,1527,,3
OvisOCR2,ovisocr2,agenda_15.jpg,agenda,19.547,,1670,,2
OvisOCR2,ovisocr2,agenda_16.jpg,agenda,6.56,,599,,0
OvisOCR2,ovisocr2,agenda_17.jpg,agenda,22.709,,1795,,4
OvisOCR2,ovisocr2,agenda_18.jpg,agenda,12.05,,1179,,1
OvisOCR2,ovisocr2,agenda_19.jpg,agenda,9.378,,678,,4
OvisOCR2,ovisocr2,agenda_20.jpg,agenda,19.173,,1460,,1
OvisOCR2,ovisocr2,agenda_21.jpg,agenda,9.19,,872,,0
OvisOCR2,ovisocr2,agenda_22.jpg,agenda,6.994,,829,,0
OvisOCR2,ovisocr2,agenda_23.jpg,agenda,14.499,,1454,,1
OvisOCR2,ovisocr2,form_01.jpg,form,54.748,,4437,,2
OvisOCR2,ovisocr2,form_02.jpg,form,0.977,,80,,0
OvisOCR2,ovisocr2,form_03.jpg,form,10.697,,1215,,1
OvisOCR2,ovisocr2,form_04.jpg,form,13.411,,1330,,2
OvisOCR2,ovisocr2,form_05.jpg,form,22.145,,2610,,0
OvisOCR2,ovisocr2,form_06.jpg,form,25.861,,2998,,1
OvisOCR2,ovisocr2,form_07.jpg,form,9.168,,879,,0
OvisOCR2,ovisocr2,form_08.jpg,form,34.095,,3914,,1
OvisOCR2,ovisocr2,form_09.jpg,form,26.538,,2592,,4
OvisOCR2,ovisocr2,form_10.jpg,form,32.197,,3526,,5
OvisOCR2,ovisocr2,form_11.jpg,form,24.895,,2331,,1
OvisOCR2,ovisocr2,form_12.jpg,form,16.367,,1506,,1
OvisOCR2,ovisocr2,form_13.jpg,form,33.109,,3308,,5
OvisOCR2,ovisocr2,form_14.jpg,form,50.187,,4969,,1
OvisOCR2,ovisocr2,form_15.jpg,form,28.56,,3284,,3
OvisOCR2,ovisocr2,form_16.jpg,form,17.232,,1782,,0
OvisOCR2,ovisocr2,form_17.jpg,form,26.329,,2622,,5
OvisOCR2,ovisocr2,form_18.jpg,form,3.834,,496,,0
OvisOCR2,ovisocr2,form_19.jpg,form,16.437,,1051,,0
OvisOCR2,ovisocr2,form_20.jpg,form,19.973,,2085,,5
OvisOCR2,ovisocr2,form_21.jpg,form,10.026,,1412,,0
OvisOCR2,ovisocr2,form_22.jpg,form,496.016,,534,,0
OvisOCR2,ovisocr2,form_23.jpg,form,19.441,,1898,,1
OvisOCR2,ovisocr2,invoice_01.jpg,invoice,10.023,,725,,1
OvisOCR2,ovisocr2,invoice_02.jpg,invoice,10.72,,833,,1
OvisOCR2,ovisocr2,invoice_03.jpg,invoice,9.212,,713,,2
OvisOCR2,ovisocr2,invoice_04.jpg,invoice,14.093,,1107,,3
OvisOCR2,ovisocr2,invoice_05.jpg,invoice,16.917,,1156,,1
OvisOCR2,ovisocr2,invoice_06.jpg,invoice,18.367,,1333,,1
OvisOCR2,ovisocr2,invoice_07.jpg,invoice,10.157,,847,,2
OvisOCR2,ovisocr2,invoice_08.jpg,invoice,8.199,,654,,2
OvisOCR2,ovisocr2,invoice_09.jpg,invoice,4.684,,420,,1
OvisOCR2,ovisocr2,invoice_10.jpg,invoice,7.281,,698,,1
OvisOCR2,ovisocr2,invoice_11.jpg,invoice,13.56,,1065,,2
OvisOCR2,ovisocr2,invoice_12.jpg,invoice,5.598,,502,,0
OvisOCR2,ovisocr2,invoice_13.jpg,invoice,12.123,,939,,3
OvisOCR2,ovisocr2,invoice_14.jpg,invoice,9.251,,741,,1
OvisOCR2,ovisocr2,invoice_15.jpg,invoice,23.044,,1815,,4
OvisOCR2,ovisocr2,invoice_16.jpg,invoice,8.168,,643,,2
OvisOCR2,ovisocr2,invoice_17.jpg,invoice,10.047,,809,,1
OvisOCR2,ovisocr2,invoice_18.jpg,invoice,13.227,,1045,,2
OvisOCR2,ovisocr2,invoice_19.jpg,invoice,17.187,,1234,,2
OvisOCR2,ovisocr2,invoice_20.jpg,invoice,17.278,,1364,,4
OvisOCR2,ovisocr2,invoice_21.jpg,invoice,15.534,,1098,,2
OvisOCR2,ovisocr2,invoice_22.jpg,invoice,10.579,,732,,2
OvisOCR2,ovisocr2,invoice_23.jpg,invoice,10.863,,861,,4
OvisOCR2,ovisocr2,original_001.jpg,original,13.024,,1448,,1
OvisOCR2,ovisocr2,original_002.jpg,original,8.008,,906,,1
OvisOCR2,ovisocr2,original_003.jpg,original,9.818,,780,,0
OvisOCR2,ovisocr2,original_004.jpg,original,9.396,,870,,0
OvisOCR2,ovisocr2,original_005.jpg,original,22.451,,2049,,0
OvisOCR2,ovisocr2,original_006.jpg,original,60.913,,5155,,1
OvisOCR2,ovisocr2,original_007.jpg,original,24.002,,1807,,1
OvisOCR2,ovisocr2,original_008.jpg,original,499.396,,1313,,2
OvisOCR2,ovisocr2,original_009.jpg,original,17.202,,1594,,1
OvisOCR2,ovisocr2,original_010.jpg,original,22.453,,1670,,4
OvisOCR2,ovisocr2,original_011.jpg,original,4.81,,664,,1
OvisOCR2,ovisocr2,report_01.jpg,report,48.6,,2761,,2
OvisOCR2,ovisocr2,report_02.jpg,report,42.555,,2267,,1
OvisOCR2,ovisocr2,report_03.jpg,report,75.905,,5190,,2
OvisOCR2,ovisocr2,report_04.jpg,report,9.559,,714,,1
OvisOCR2,ovisocr2,report_05.jpg,report,21.562,,1012,,0
OvisOCR2,ovisocr2,report_06.jpg,report,22.339,,1296,,1
OvisOCR2,ovisocr2,report_07.jpg,report,11.521,,848,,1
OvisOCR2,ovisocr2,report_08.jpg,report,35.769,,2369,,2
OvisOCR2,ovisocr2,report_09.jpg,report,61.763,,3847,,1
OvisOCR2,ovisocr2,report_10.jpg,report,48.211,,4420,,1
OvisOCR2,ovisocr2,report_11.jpg,report,26.877,,2104,,2
OvisOCR2,ovisocr2,report_12.jpg,report,48.404,,2522,,1
OvisOCR2,ovisocr2,report_13.jpg,report,16.898,,1359,,1
OvisOCR2,ovisocr2,report_14.jpg,report,14.923,,1036,,1
OvisOCR2,ovisocr2,report_15.jpg,report,12.427,,1089,,1
OvisOCR2,ovisocr2,report_16.jpg,report,22.435,,1303,,1
OvisOCR2,ovisocr2,report_17.jpg,report,57.776,,3310,,1
OvisOCR2,ovisocr2,report_18.jpg,report,101.973,,5223,,1
OvisOCR2,ovisocr2,report_19.jpg,report,34.956,,1870,,1
OvisOCR2,ovisocr2,report_20.jpg,report,48.313,,2591,,1
